name,category,price,image_url
Vietnamese Spanish LattÃ© FrappÃ©,frappe-buddy,,https://zuscoffee.com/wp-content/uploads/2024/11/Vietnamese-Spanish-Latte-Frappe.png
Mango Spanish FrappÃ©,frappe-buddy,,https://zuscoffee.com/wp-content/uploads/2024/11/Mango-Spanish-Frappe.png
Spanish LattÃ© FrappÃ©,frappe-buddy,,https://zuscoffee.com/wp-content/uploads/2024/11/Spanish-Latte-Frappe.png
Ro-Ro-Rosie FrappÃ©,rosie-series,,https://zuscoffee.com/wp-content/uploads/2024/10/Ro-Ro-Rosie-Frappe.png
Rosie LattÃ©,rosie-series,,https://zuscoffee.com/wp-content/uploads/2024/10/Iced-Rosie-Latte.png
Rosie Cham LattÃ©,rosie-series,,https://zuscoffee.com/wp-content/uploads/2024/10/Iced-Rosie-Cham-Latte.png
Pumpkin Spice FrappÃ©,pumpkin-spice-series,,https://zuscoffee.com/wp-content/uploads/2024/10/Pumpkin-Spice-Frappe.png
Pumpkin Spice Black,pumpkin-spice-series,,https://zuscoffee.com/wp-content/uploads/2024/10/Iced-Pumpkin-Spice-Black-Latte.png
Pumpkin Spice LattÃ©,pumpkin-spice-series,,https://zuscoffee.com/wp-content/uploads/2024/10/Iced-Pumpkin-Spice-Latte.png
Tarik Milk Tea,cham-latte,,https://zuscoffee.com/wp-content/uploads/2024/10/Iced-Tarik-Milk-Tea.png
Tarik Cham LattÃ©,cham-latte,,https://zuscoffee.com/wp-content/uploads/2024/09/Iced-Tarik-Cham-Latte.png
Watermelon Berry Refresher (1L),bottled-necessity,,https://zuscoffee.com/wp-content/uploads/2024/09/1L-Watermelon-Berry-Refresher.png
Vietnamese Spanish LattĂ© (1L),bottled-necessity,,https://zuscoffee.com/wp-content/uploads/2024/09/1L-Vietnamese-Spanish-Latte?.png
Mango FrappĂ©,zus-frappe,,https://zuscoffee.com/wp-content/uploads/2024/09/Mango-Frappe?.png
SOE CEO Coconut LattĂ©,soe,,https://zuscoffee.com/wp-content/uploads/2024/09/SOE-Coconut-Latte.png
SOE Spanish LattĂ©,soe,,https://zuscoffee.com/wp-content/uploads/2024/09/SOE-Spanish-Latte.png
SOE Americano,soe,,https://zuscoffee.com/wp-content/uploads/2024/09/SOE-Americano.png
SOE CEO LattĂ©,soe,,https://zuscoffee.com/wp-content/uploads/2024/09/SOE-CEO-Latte.png
Earl Grey Milk Tea,cham-latte,,https://zuscoffee.com/wp-content/uploads/2024/09/Earl-Grey-Milk-Tea.png
Earl Grey Cham LattĂ©,cham-latte,,https://zuscoffee.com/wp-content/uploads/2024/09/Earl-Grey-Cham-Latte.png
White Peach Oolong Milk Tea,cham-latte,,https://zuscoffee.com/wp-content/uploads/2024/09/White-Peach-Oolong-Milk-Tea.png
Jasmine Milk Tea,cham-latte,,https://zuscoffee.com/wp-content/uploads/2024/09/Jasmine-Milk-Tea.png
Dark Oolong Milk Tea,cham-latte,,https://zuscoffee.com/wp-content/uploads/2024/09/Dark-Oolong-Milk-Tea.png
White Peach Oolong Cham LattĂ©,cham-latte,,https://zuscoffee.com/wp-content/uploads/2024/09/White-Peach-Oolong-Cham-Latte.png
Jasmine Cham Latté,cham-latte,,https://zuscoffee.com/wp-content/uploads/2024/09/Jasmine-Cham-Latte.png
Dark Oolong Cham Latté,cham-latte,,https://zuscoffee.com/wp-content/uploads/2024/09/Dark-Oolong-Cham-Latte.png
Tahitian Lime Refresher,fruit-refreshers,,https://zuscoffee.com/wp-content/uploads/2024/08/Tahitian-Lime-Refresher.png
Mixed Berries Refresher,fruit-refreshers,,https://zuscoffee.com/wp-content/uploads/2024/08/Mixed-Berries-Refresher.png
CEO Coconut Latté,ceo-series,,https://zuscoffee.com/wp-content/uploads/2024/07/Iced-CEO-Coconut-Latte.png
OATSIDE CEO Latté,oatside-series,,https://zuscoffee.com/wp-content/uploads/2024/06/Oatside-CEO-Latte.png
Coconut Mocha,coconut-series,,https://zuscoffee.com/wp-content/uploads/2024/06/COconut-Mocha.png
Butterscotch Frappé,butterscotch-series,,https://zuscoffee.com/wp-content/uploads/2024/06/Butterscotch-Frappe-1.png
Butterbae,butterscotch-series,,https://zuscoffee.com/wp-content/uploads/2024/06/Butterbae-1.png
Butterscotch Latté,butterscotch-series,,https://zuscoffee.com/wp-content/uploads/2024/06/Iced-Butterscotch-Latte-1.png
Matcha Lemonade,matcha-macam,,https://zuscoffee.com/wp-content/uploads/2024/06/Matcha-Lemonade-1.png
Matcha Strawberry Latté,matcha-macam,,https://zuscoffee.com/wp-content/uploads/2024/06/Matcha-Strawberry-Latte.png
Zirty Matcha LattĂ©,matcha-macam,,https://zuscoffee.com/wp-content/uploads/2024/06/Zirty-Matcha-Latte.png
Not Pistachio LattĂ©,matcha-macam,,https://zuscoffee.com/wp-content/uploads/2024/06/Not-Pistachio-Latte.png
ZUS Signature Curry Puff,pastries,,https://zuscoffee.com/wp-content/uploads/2024/05/ZUS-Signature-Curry-Puff.png
Watermelon FrappĂ©,watermelon-series,,https://zuscoffee.com/wp-content/uploads/2024/02/Watermelon-Frappe.png
Watermelon LattĂ©,watermelon-series,,https://zuscoffee.com/wp-content/uploads/2024/02/Iced-Watermelon-Latte.png
Icy Spanish LattĂ©,icy-series,,https://zuscoffee.com/wp-content/uploads/2024/01/Website_SKU-ISL.png
Icy Coconut LattĂ©,icy-series,,https://zuscoffee.com/wp-content/uploads/2024/01/Website_SKU-ICL.png
Coconut LattĂ©,coconut-series,,https://zuscoffee.com/wp-content/uploads/2024/01/Iced-Coconut-Latte?1.png
Spanish LattĂ© (with Coconut Milk),coconut-series,,https://zuscoffee.com/wp-content/uploads/2023/11/Iced-Coconut-Latte?.png
Iced Cheese CrĂ¨me Caramel Matcha,creme-series,,https://zuscoffee.com/wp-content/uploads/2023/11/Iced-Cheese-Cre?me-Caramel-Matcha.png
Cheese CrĂ¨me Strawberry FrappĂ©,zus-frappe,,https://zuscoffee.com/wp-content/uploads/2023/11/Cheese-Cre?me-Strawberry-Frappe?1.png
Iced ButtercrĂ¨me Strawberry LattĂ©,creme-series,,https://zuscoffee.com/wp-content/uploads/2023/10/Iced-Buttercreme-Strawberry-Latte.png
Iced ButtercrĂ¨me Spanish LattĂ©,creme-series,,https://zuscoffee.com/wp-content/uploads/2023/10/Iced-Buttercreme-Spanish-Latte.png
Iced ButtercrĂ¨me Chocolatta,creme-series,,https://zuscoffee.com/wp-content/uploads/2023/10/Iced-Buttercreme-Chocolatta.png
Pepsi Cloud,pepsi,,https://zuscoffee.com/wp-content/uploads/2023/09/Pepsi-Cloud.png
Pepsi Sour,pepsi,,https://zuscoffee.com/wp-content/uploads/2023/09/Pepsi-Sour.png
OATSIDE Cafe LattĂ©,oatside-series,,https://zuscoffee.com/wp-content/uploads/2023/08/OATSDE-Cafe-Latte.png
OATSIDE Japanese Genmaicha LattĂ©,oatside-series,,https://zuscoffee.com/wp-content/uploads/2023/08/OATSIDE-Japanese-Genmaicha-Latte.png
OATSIDE Spanish LattĂ©,oatside-series,,https://zuscoffee.com/wp-content/uploads/2023/08/OATSIDE-Spanish-Latte.png
Caramel Cream FrappĂ©,zus-frappe,,https://zuscoffee.com/wp-content/uploads/2023/08/Caramel-Cream-Frappe.png
Vietnamese Spanish LattĂ©,coffee,,https://zuscoffee.com/wp-content/uploads/2023/08/Vietnamese-Spanish-Latte.png
ButtercrĂ¨me LattĂ©,creme-series,,https://zuscoffee.com/wp-content/uploads/2023/07/Iced-Buttercreme-Latte.png
Velvet CrĂ¨me LattĂ©,creme-series,,https://zuscoffee.com/wp-content/uploads/2023/07/Iced-Velvet-Creme-Latte.png
For The Love Of Fruits,bottled-necessity,,https://zuscoffee.com/wp-content/uploads/2022/06/For-The-Love-of-Fruits.png
Oh My Orange “ZUS”,bottled-necessity,,https://zuscoffee.com/wp-content/uploads/2022/06/Oh-My-Orange.png
ZUS Mineral Water,bottled-necessity,,https://zuscoffee.com/wp-content/uploads/2022/06/ZUS-Mineral-Water.png
Cafe Mocha (1L),bottled-necessity,,https://zuscoffee.com/wp-content/uploads/2022/06/RTD-Cafe-Mocha.png
Cafe LattÃ© (1L),bottled-necessity,,https://zuscoffee.com/wp-content/uploads/2022/06/RTD-Cafe-Latte.png
Spanish LattÃ© (1L),bottled-necessity,,https://zuscoffee.com/wp-content/uploads/2022/06/RTD-Spanish-Latte-1.png
Americano (1L),bottled-necessity,,https://zuscoffee.com/wp-content/uploads/2022/06/RTD-Americano.png
Green Tea LattÃ©,tea,,https://zuscoffee.com/wp-content/uploads/2022/06/green_tea_latte.png
Roasted Hazelnut Chocolate,chocolate,,https://zuscoffee.com/wp-content/uploads/2022/06/roasted-hazelnut-choco.png
French Vanilla Chocolate,chocolate,,https://zuscoffee.com/wp-content/uploads/2022/06/french-vanilla-choco.png
Salted Caramel Chocolate,chocolate,,https://zuscoffee.com/wp-content/uploads/2022/06/salted-caramel-choco.png
Australian Chocolate,chocolate,,https://zuscoffee.com/wp-content/uploads/2022/06/australian-chocolate.png
Pink Black,coffee-mocktail-drinks,,https://zuscoffee.com/wp-content/uploads/2022/06/pink_black.png
Pink Lemonade,refresher,,https://zuscoffee.com/wp-content/uploads/2022/06/pink_lemonade.png
ZUS Lemonade,refresher,,https://zuscoffee.com/wp-content/uploads/2022/06/zus-lemonade.png
Creamy Mango,home-page-special-drinks,,https://zuscoffee.com/wp-content/uploads/2022/06/creamy-mango.png
Lychee Strawberry Cooler,refresher,,https://zuscoffee.com/wp-content/uploads/2022/06/lychee-cooler.png
Espresso,coffee,,https://zuscoffee.com/wp-content/uploads/2022/06/espresso.png
Flat White,coffee,,https://zuscoffee.com/wp-content/uploads/2022/06/flat-white.png
Babycino,kiddo-friendly,,https://zuscoffee.com/wp-content/uploads/2022/05/babycino.png
Americano,coffee,,https://zuscoffee.com/wp-content/uploads/2022/05/Americano.png
Salted Caramel Latté,coffee,,https://zuscoffee.com/wp-content/uploads/2022/05/salted_caramel_latte.png
Roasted Hazelnut Latté,coffee,,https://zuscoffee.com/wp-content/uploads/2022/05/roasted_hazelnut_latte.png
French Vanilla Latté,coffee,,https://zuscoffee.com/wp-content/uploads/2022/05/french_vanilla_latte.png
Cafe Latté,coffee,,https://zuscoffee.com/wp-content/uploads/2022/05/iced_latte.png
Cappuccino,coffee,,https://zuscoffee.com/wp-content/uploads/2022/05/cappuccino.png
Caramel Macchiato,coffee,,https://zuscoffee.com/wp-content/uploads/2022/05/caramel_macchiato.png
CafÃ© Mocha,coffee,,https://zuscoffee.com/wp-content/uploads/2022/05/iced_cafe-mocha.png
Keto Black,functional,,https://zuscoffee.com/wp-content/uploads/2022/05/keto_black.png
ZERO FrappÃ©,functional,,https://zuscoffee.com/wp-content/uploads/2022/05/zero_frappe.png
ZERO LattÃ©,functional,,https://zuscoffee.com/wp-content/uploads/2022/05/zero_latte.png
CEO LattÃ©,ceo-series,,https://zuscoffee.com/wp-content/uploads/2022/05/ceo_latte.png
Spanish LattÃ©,home-page-special-drinks,,https://zuscoffee.com/wp-content/uploads/2022/05/spanish_latte.png
Matcho LattÃ©,chocolate,,https://zuscoffee.com/wp-content/uploads/2022/05/iced_matcho.png
ZUS Gula Melaka,coffee,,https://zuscoffee.com/wp-content/uploads/2022/05/zus_gula_melaka.png
Zirty LattÃ©,coffee,,https://zuscoffee.com/wp-content/uploads/2022/05/dirty_latte.png
Japanese Matcha FrappÃ©,home-page-special-drinks,,https://zuscoffee.com/wp-content/uploads/2022/05/jap-matcha-frappe.png
Double Chocolate Chip Frappé,home-page-special-drinks,,https://zuscoffee.com/wp-content/uploads/2022/05/double-choc-frappe.png
Salted Caramel Frappé,home-page-special-drinks,,https://zuscoffee.com/wp-content/uploads/2022/05/salted-caramel-frappe.png
Java Chip Frappé,home-page-special-drinks,,https://zuscoffee.com/wp-content/uploads/2022/05/java_chip.png
Espresso Frappé,home-page-special-drinks,,https://zuscoffee.com/wp-content/uploads/2022/05/espresso_frappe.png
Thunder,coffee-mocktail-drinks,,https://zuscoffee.com/wp-content/uploads/2022/03/coffee_05.png
Cocoa Mocha Frappé,home-page-special-drinks,,https://zuscoffee.com/wp-content/uploads/2022/03/coffee_04.png
Japanese Genmaicha Latté,home-page-special-drinks,,https://zuscoffee.com/wp-content/uploads/2022/03/genmaicha.png
