name,category,price,image_url
Kapitan Chicken Curry with Rice,food,,https://zuscoffee.com/wp-content/uploads/2024/05/Kapitan-Chicken-Curry-with-Rice.png
Ayam Masak Merah with Rice,food,,https://zuscoffee.com/wp-content/uploads/2024/05/Ayam-Masak-Merah-with-Rice.png
Kampung Fried Rice,food,,https://zuscoffee.com/wp-content/uploads/2024/05/Kampung-Fried-Rice.png
Pak Nasser’s Nasi Lemak Ayam Rendang,food,,https://zuscoffee.com/wp-content/uploads/2024/05/Pak-Nassers-Nasi-Lemak-Ayan-Rendang.png
Big Brekkie Croissant,pastries,,https://zuscoffee.com/wp-content/uploads/2024/05/Big-Brekkie-Croissant.png
Pearl Sugar Waffle,pastries,,https://zuscoffee.com/wp-content/uploads/2024/05/Pearl-Sugar-Waffle.png
ZUS Signature Curry Puff,pastries,,https://zuscoffee.com/wp-content/uploads/2024/05/ZUS-Signature-Curry-Puff.png
Biscoff Baked Cheese Cake,cakes,,https://zuscoffee.com/wp-content/uploads/2024/05/Biscoff-Bakes-Cheesecake.png
Pearl Sugar Waffle Soft Serve,food,,https://zuscoffee.com/wp-content/uploads/2024/05/Pearl-Sugar-Waffle-Soft-Serve-3.png
BBQ Peanut Crunch,food,,https://zuscoffee.com/wp-content/uploads/2023/10/BBQ_Peanut_Crunch.png
Dark Chocolate Chip Cookies,food,,https://zuscoffee.com/wp-content/uploads/2023/10/Dark_Chocolate_Chip_Cookies.png
Butterscotch Cashew Chocolate Chip Cookies,food,,https://zuscoffee.com/wp-content/uploads/2023/10/Butterscotch_Cashew_Chocolate_Chip_Cookies.png
Mini Banana Bread Granola Bites (40g),food,,https://zuscoffee.com/wp-content/uploads/2023/10/Mini-Banana-Bread-Granola-Bites.png
Mini Chocolate Hazelnut Granola Bites (40g),food,,https://zuscoffee.com/wp-content/uploads/2023/10/Mini-Chocolate-Hazelnut-Granola-Bites.png
Mini Pandan Coconut Nut Mix (30g),food,,https://zuscoffee.com/wp-content/uploads/2023/10/Mini-Pandan-Coconut-Nut-Mix.png
Classic Nasi Lemak with Curry Chicken,food,,https://zuscoffee.com/wp-content/uploads/2023/10/Classic-Nasi-Lemak-with-Curry-Chicken.png
Soft Boiled Eggs,local-menu,,https://zuscoffee.com/wp-content/uploads/2023/10/Untitled-design-1.png
Vienna Latté Float,soft-serve,,https://zuscoffee.com/wp-content/uploads/2023/10/Vienna-Latte-Float-1.png
Affogato,soft-serve,,https://zuscoffee.com/wp-content/uploads/2023/09/Affogato-1.png
Drizzle Soft Serve,soft-serve,,https://zuscoffee.com/wp-content/uploads/2023/09/Drizzle_Soft_Serve.png
Vanilla Soft Serve,soft-serve,,https://zuscoffee.com/wp-content/uploads/2023/09/Vanilla_Soft_Serve.png
Toast with Curry Chicken,food,,https://zuscoffee.com/wp-content/uploads/2023/09/Toast-with-Curry-Chicken.png
Kaya Butter Toast,food,,https://zuscoffee.com/wp-content/uploads/2023/09/Kaya-Butter-Toast-1.png
Kaya Butter Toast with Soft Boiled Eggs,food,,https://zuscoffee.com/wp-content/uploads/2023/09/Kaya-Butter-Toast-with-Soft-Boiled-Eggs-1.png
Tasty Chicken Sandwich,sandwiches,,https://zuscoffee.com/wp-content/uploads/2023/09/Chicken_Slice___Cheese_Sandwich.png
Tuna & Egg Sandwich,sandwiches,,https://zuscoffee.com/wp-content/uploads/2023/09/Tuna_Cheese_Sandwich.png
Egg Mayo Sandwich,sandwiches,,https://zuscoffee.com/wp-content/uploads/2023/08/Egg_Mayo_Sandwich.png
Tom Yum Chicken Puff,pastries,,https://zuscoffee.com/wp-content/uploads/2023/08/Tom-Yum-Puff-1.png
Chocolate Roll,pastries,,https://zuscoffee.com/wp-content/uploads/2022/06/rsz_chocolate_danish_roll-1.jpg
Chicken Slice & Cheese Croissant,pastries,,https://zuscoffee.com/wp-content/uploads/2022/06/rsz_11o1a3679-1.png
Spaghetti Carbonara,hot-meals,,https://zuscoffee.com/wp-content/uploads/2022/06/rsz_carbonara.jpg
Korean Mac & Cheese,hot-meals,,https://zuscoffee.com/wp-content/uploads/2022/06/rsz_61o1a5484-1.png
Mushroom Chicken Deluxe,pastries,,https://zuscoffee.com/wp-content/uploads/2022/06/rsz_1o1a3686-1.png
Strawberry Donut,pastries,,https://zuscoffee.com/wp-content/uploads/2022/06/strawberry-donut.png
Chocolate Donut,pastries,,https://zuscoffee.com/wp-content/uploads/2022/06/choc-donut-.png
Burnt Cheese Cake,cakes,,https://zuscoffee.com/wp-content/uploads/2022/06/dda.png
Summer Berries Cheese Cake,cakes,,https://zuscoffee.com/wp-content/uploads/2022/06/summerberries-cake.png
ZUS Signature Chicken Lasagna,hot-meals,,https://zuscoffee.com/wp-content/uploads/2022/06/rsz_chimken_lasagna.jpg
