name,category,address,maps_url
ZUS Coffee – Temu Business Centre City Of Elmina,Kuala Lumpur/Selangor,"No 5 (Ground Floor), Jalan Eserina AA U16/AA Elmina, East, Seksyen U16, 40150 Shah Alam, Selangor",https://maps.app.goo.gl/XduXnuUs4E2a1VE56
ZUS Coffee – Spectrum Shopping Mall,Kuala Lumpur/Selangor,"Lot CW-5 Cafe Walk, Ground Floor Spectrum Shopping Mall Jalan Wawasan Ampang, 4, 2, Bandar Baru Ampang, 68000 Ampang, Selangor",https://maps.app.goo.gl/XPhXh6bgSb4pPaSz7
ZUS Coffee – Bandar Menjalara,Kuala Lumpur/Selangor,"37, Jalan 3/62a, Bandar Menjalara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",https://maps.app.goo.gl/SoxNpkV3iGxmd4Rr7
"ZUS Coffee – Jabatan Peguam Negara,  Putrajaya",Kuala Lumpur/Selangor,"Bangunan Jabatan Peguam Negara AGC Persint 4, Lot 1, Level 1, Putrajaya 62100 Malaysia",https://maps.app.goo.gl/3jKWmERn8sC6ek6V7
"ZUS Coffee – LSH33, Sentul",Kuala Lumpur/Selangor,"G-11, Ground Floor, Laman Seri Harmoni (LSH33), No. 3, Jalan Batu Muda Tambahan 3, Sentul, 51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",https://maps.app.goo.gl/U7EbSxGQbjgtU6Qr8
"ZUS Coffee – Bandar Tun Hussein Onn, Cheras",Kuala Lumpur/Selangor,"No 48A Jalan Suarasa 8/4, Bandar Tun Hussein Onn, 43200 Cheras, Selangor",https://maps.app.goo.gl/9JbwtcN2q54sBjhk6
ZUS Coffee – AEON BiG Wangsa Maju,Kuala Lumpur/Selangor,"Lot F1.11 (First Floor), AEON BiG Wangsa Maju, 6, Jalan 8/27A, Section 5, Wangsa Maju, 53300, Kuala Lumpur, Wilayah Persekutuan",https://maps.app.goo.gl/nuMteM6vU4YrhtHb9
ZUS Coffee – Cheras Business Centre,Kuala Lumpur/Selangor,"No 6 Jalan 5/101C, Cheras Business Centre, 56100 Cheras, Kuala Lumpur",https://maps.app.goo.gl/hFRNP2j8XUnkfNEHA
"ZUS Coffee – Damansara Perdana, Petaling Jaya",Kuala Lumpur/Selangor,"12-1 (Ground floor), Jalan PJU 8/5E, Bandar Damansara Perdana, 47820 Petaling Jaya, Selangor.",https://maps.app.goo.gl/Hj1Gu2MMHGabTZXb9
"ZUS Coffee – Bandar Damai Perdana, Cheras",Kuala Lumpur/Selangor,"No 19G (Ground floor), Jalan Damai Perdana 1/9b, Bandar Damai Perdana, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",https://maps.app.goo.gl/qnporqATyiphhS488
"ZUS Coffee – Desa Pandan, Ampang",Kuala Lumpur/Selangor,"No 35 (Ground Floor), Jalan 3/76D, Desa Pandan, 55100, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur.",https://maps.app.goo.gl/ib8foAkecu9ePYRQ8
"ZUS Coffee – Kenanga Wholesale City, Jalan Gelugor",Kuala Lumpur/Selangor,"G-92 (GF 012.2) & G-93 (GF 012.1), Ground Floor, Kompleks Kenanga Wholesale City, No. 2, Jalan Gelugor, 55200 Kuala Lumpur",https://maps.app.goo.gl/YcqBi1cYaSaCHsHJ8
ZUS Coffee – Giant Shah Alam Stadium,Kuala Lumpur/Selangor,"A14 – A16, Ground Floor, Giant Shah Alam Stadium, Persiaran Sukan, Seksyen 13, 40100 Shah Alam, Selangor",https://maps.app.goo.gl/V6jaEgHy2qcw1DJh6
ZUS Coffee – Bintang Fairlane Residence,Kuala Lumpur/Selangor,"B�0�1 (Ground Floor), Block B, Retail 1, Bintang Fairlane, NO. 23, Jalan Padang Walter Grenier 55100 Kuala Lumpur",https://maps.app.goo.gl/mvZdYjtUQedZ75me9
"ZUS Coffee – Nadayu 801, Taman Subang Murni",Kuala Lumpur/Selangor,"Lot 08, Nadayu 801, Taman Subang Murni, 40150 Shah Alam, Selangor",https://maps.app.goo.gl/6J4ySUmhzK4ey9dWA
ZUS Coffee – MAB Academy Campus Sepang,Kuala Lumpur/Selangor,"Level 1, MAB Academy (MABA Campus) Building, Southern Support Zone KLIA, 64000 Sepang, Selangor",https://maps.app.goo.gl/mLzPwsEm91VMgbhs7
"ZUS Coffee – Jalan Berangan, Port Klang",Kuala Lumpur/Selangor,"No 20(GF) Jalan Berangan, 42000 Port Klang, Selangor.",https://maps.app.goo.gl/JPkqNrEphcnqGZu76
ZUS Coffee – Ampang Point,Kuala Lumpur/Selangor,"No 50(GF) Jalan Memanda 9, Selangor. Taman Dato Ahmad Razali, 68000 Ampang, Selangor",https://maps.app.goo.gl/EoDEnDH114wWbrLk9
"ZUS Coffee – Seksyen 3, Bandar Baru Bangi",Kuala Lumpur/Selangor,"47-G, Jalan 3/69, Seksyen 3, 43650 Bandar Baru Bangi, Selangor",https://maps.app.goo.gl/JCF1Ug6dFCaiiVzS7
"ZUS Coffee – Seksyen 7, Bandar Baru Bangi",Kuala Lumpur/Selangor,"No.48G (Ground Floor), Jalan 7/7a, Seksyen 7, 43650 Bandar Baru Bangi, Selangor.",https://maps.app.goo.gl/y6AehkccGpJHt4Fx9
